attack_id,attack,trace,ranking_instants,violations,mean_kendall_tau_vs_size,pct_all_scores_tied,mean_distinct_levels,pct_order_identical_to_size,windows,partial,verdict,note
A0,baseline: published pointwise regressor,sdsc,11843,0,0.7518832993306538,14.413577640800472,3.0883222156548173,71.52748459005319,20,False,NOT BROKEN,"Reference row, not an attack. Reproduces the published measurement under this run's window count so every attack below is read against a like-for-like control."
A1,different objective: XGBRanker rank:pairwise,sdsc,11852,0,0.8153253370807915,14.470131623354709,3.0930644616942287,74.42625717178535,20,False,NOT BROKEN,"Argument: degeneracy is a property of the INPUTS, not the loss -- if every per-job feature is a function of size given the state, so is any function of them, whatever the training objective. Measured with a pairwise learning-to-rank model over the identical 8 features; scores negated so ascending order is dispatch order (monotone, so it moves no counter but the sign of tau). Query groups are 3600s submit-time buckets, relevance is 5 global quantile grades of log1p(wait) with shortest wait most relevant."
A1,different objective: XGBRanker rank:ndcg,sdsc,11877,0,0.6953052898991934,14.28811989559653,3.1001936515955206,67.4581123179254,20,False,NOT BROKEN,"Argument: degeneracy is a property of the INPUTS, not the loss -- if every per-job feature is a function of size given the state, so is any function of them, whatever the training objective. Measured with a ndcg learning-to-rank model over the identical 8 features; scores negated so ascending order is dispatch order (monotone, so it moves no counter but the sign of tau). Query groups are 3600s submit-time buckets, relevance is 5 global quantile grades of log1p(wait) with shortest wait most relevant."
A2,monotone transform of the published score: log1p,sdsc,11843,0,0.7518832993306538,14.413577640800472,3.0883222156548173,71.52748459005319,20,False,NOT BROKEN,"Argument: a strictly monotone map is order-preserving, so it can neither reorder a queue nor split a tie -- this attack fails by construction and a non-zero violation count here would mean the instrumentation is broken, not that the claim is. Applied to the PUBLISHED model's own predictions; nothing is retrained."
A2,monotone transform of the published score: sigmoid,sdsc,11843,0,0.7518832993306538,14.413577640800472,3.0883222156548173,71.52748459005319,20,False,NOT BROKEN,"Argument: a strictly monotone map is order-preserving, so it can neither reorder a queue nor split a tie -- this attack fails by construction and a non-zero violation count here would mean the instrumentation is broken, not that the claim is. Applied to the PUBLISHED model's own predictions; nothing is retrained."
A3,history window: cluster state 5 ticks ago,sdsc,11883,0,0.8178405760871739,13.66658251283346,3.0940839855255406,75.16620382058403,20,False,NOT BROKEN,"Argument: lagged cluster state is still SHARED by every co-queued job at the dispatch instant, so the lagged block lands in the same ""identical for every queued job"" bucket as the contemporaneous one. Measured with the 8 features plus ['total_free', 'queue_length', 'running_jobs', 'free_frac'] as of 5 back. Honest caveat: a ""tick"" is one training row back when fitting and one dispatch instant back when simulating, and the lag block repeats the oldest available state until 5 instants have been seen."
A4,score computed at enqueue time and cached,sdsc,12029,20482,0.3412744058423694,0.05819270097264943,8.809044808379749,15.75359547759581,20,False,BROKEN,"Argument: if a job is scored when it ENTERS the queue and the score is then cached, two co-queued jobs were scored against DIFFERENT cluster states, the shared-state premise fails, and the ranking need not be a size permutation. This is a DIFFERENT POLICY, not a different implementation of the published one: staleness is a cost as well as a source of variation, so see robustness_attack_utility.csv for whether it actually schedules better or merely becomes non-degenerate."
A0,baseline: published pointwise regressor,lanl,29943,0,0.6206617494336178,20.72938583308286,2.2772601275757274,77.63083191396987,20,False,NOT BROKEN,"Reference row, not an attack. Reproduces the published measurement under this run's window count so every attack below is read against a like-for-like control."
A1,different objective: XGBRanker rank:pairwise,lanl,30260,0,0.5980263354973561,20.68076668869795,2.2888962326503637,72.54461335095836,20,False,NOT BROKEN,"Argument: degeneracy is a property of the INPUTS, not the loss -- if every per-job feature is a function of size given the state, so is any function of them, whatever the training objective. Measured with a pairwise learning-to-rank model over the identical 8 features; scores negated so ascending order is dispatch order (monotone, so it moves no counter but the sign of tau). Query groups are 3600s submit-time buckets, relevance is 5 global quantile grades of log1p(wait) with shortest wait most relevant."
A1,different objective: XGBRanker rank:ndcg,lanl,30130,0,0.47020253508145365,20.444739462329903,2.3081314304679723,68.61267839362762,20,False,NOT BROKEN,"Argument: degeneracy is a property of the INPUTS, not the loss -- if every per-job feature is a function of size given the state, so is any function of them, whatever the training objective. Measured with a ndcg learning-to-rank model over the identical 8 features; scores negated so ascending order is dispatch order (monotone, so it moves no counter but the sign of tau). Query groups are 3600s submit-time buckets, relevance is 5 global quantile grades of log1p(wait) with shortest wait most relevant."
A2,monotone transform of the published score: log1p,lanl,29943,0,0.6206617494336178,20.72938583308286,2.2772601275757274,77.63083191396987,20,False,NOT BROKEN,"Argument: a strictly monotone map is order-preserving, so it can neither reorder a queue nor split a tie -- this attack fails by construction and a non-zero violation count here would mean the instrumentation is broken, not that the claim is. Applied to the PUBLISHED model's own predictions; nothing is retrained."
A2,monotone transform of the published score: sigmoid,lanl,29943,0,0.6206617494336178,20.72938583308286,2.2772601275757274,77.63083191396987,20,False,NOT BROKEN,"Argument: a strictly monotone map is order-preserving, so it can neither reorder a queue nor split a tie -- this attack fails by construction and a non-zero violation count here would mean the instrumentation is broken, not that the claim is. Applied to the PUBLISHED model's own predictions; nothing is retrained."
A3,history window: cluster state 5 ticks ago,lanl,29587,0,0.6137362082378041,20.576604589853652,2.2694426606279787,77.47659445026532,20,False,NOT BROKEN,"Argument: lagged cluster state is still SHARED by every co-queued job at the dispatch instant, so the lagged block lands in the same ""identical for every queued job"" bucket as the contemporaneous one. Measured with the 8 features plus ['total_free', 'queue_length', 'running_jobs', 'free_frac'] as of 5 back. Honest caveat: a ""tick"" is one training row back when fitting and one dispatch instant back when simulating, and the lag block repeats the oldest available state until 5 instants have been seen."
A4,score computed at enqueue time and cached,lanl,31524,37741,0.49671354062103046,0.20936429387133612,8.017161527724909,20.273442456541048,20,False,BROKEN,"Argument: if a job is scored when it ENTERS the queue and the score is then cached, two co-queued jobs were scored against DIFFERENT cluster states, the shared-state premise fails, and the ranking need not be a size permutation. This is a DIFFERENT POLICY, not a different implementation of the published one: staleness is a cost as well as a source of variation, so see robustness_attack_utility.csv for whether it actually schedules better or merely becomes non-degenerate."
